,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,
2023-09-14,175.74000549316406,448.7770080566406,175.74000549316406,450.3599853515625,176.10000610351562,451.0799865722656,173.5800018310547,447.7200012207031,174.0,449.07000732421875,60895800,83430800
2023-09-15,175.00999450683594,443.3699951171875,175.00999450683594,443.3699951171875,176.5,447.4800109863281,173.82000732421875,442.9200134277344,176.47999572753906,447.1400146484375,109205100,111761400
2023-09-18,177.97000122070312,443.6300048828125,177.97000122070312,443.6300048828125,179.3800048828125,444.9700012207031,176.1699981689453,442.55999755859375,176.47999572753906,443.04998779296875,67257600,55752200
2023-09-19,179.07000732421875,442.7099914550781,179.07000732421875,442.7099914550781,179.6300048828125,443.2900085449219,177.1300048828125,439.94000244140625,177.52000427246094,442.67999267578125,51826900,66514600
2023-09-20,175.49000549316406,438.6400146484375,175.49000549316406,438.6400146484375,179.6999969482422,444.44000244140625,175.39999389648438,438.42999267578125,179.25999450683594,444.010009765625,58436200,82562600
2023-09-21,173.92999267578125,431.3900146484375,173.92999267578125,431.3900146484375,176.3000030517578,435.9700012207031,173.86000061035156,431.2300109863281,174.5500030517578,435.70001220703125,63047900,103976100
2023-09-22,174.7899932861328,430.4200134277344,174.7899932861328,430.4200134277344,177.0800018310547,434.1000061035156,174.0500030517578,429.989990234375,174.6699981689453,432.45001220703125,56725400,100829700
2023-09-25,176.0800018310547,432.2300109863281,176.0800018310547,432.2300109863281,176.97000122070312,432.2699890136719,174.14999389648438,428.7200012207031,174.1999969482422,429.1700134277344,46172700,70874500
2023-09-26,171.9600067138672,425.8800048828125,171.9600067138672,425.8800048828125,175.1999969482422,429.82000732421875,171.66000366210938,425.0199890136719,174.82000732421875,429.0899963378906,64588900,96168400
2023-09-27,170.42999267578125,426.04998779296875,170.42999267578125,426.04998779296875,173.0399932861328,427.6700134277344,169.0500030517578,422.2900085449219,172.6199951171875,427.0899963378906,66921800,104705800
2023-09-28,170.69000244140625,428.5199890136719,170.69000244140625,428.5199890136719,172.02999877929688,430.25,167.6199951171875,424.8699951171875,169.33999633789062,425.4800109863281,56294400,92258300
2023-09-29,171.2100067138672,427.4800109863281,171.2100067138672,427.4800109863281,173.07000732421875,431.8500061035156,170.33999633789062,425.9100036621094,172.02000427246094,431.6700134277344,51814200,115078500
2023-10-02,173.75,427.30999755859375,173.75,427.30999755859375,174.3000030517578,428.6000061035156,170.92999267578125,424.4599914550781,171.22000122070312,426.6199951171875,52164500,83798600
2023-10-03,172.39999389648438,421.5899963378906,172.39999389648438,421.5899963378906,173.6300048828125,427.3699951171875,170.82000732421875,420.17999267578125,172.25999450683594,425.05999755859375,49594600,103760600
2023-10-04,173.66000366210938,424.6600036621094,173.66000366210938,424.6600036621094,174.2100067138672,425.42999267578125,170.97000122070312,420.55999755859375,171.08999633789062,422.07000732421875,53020300,87453000
2023-10-05,174.91000366210938,424.5,174.91000366210938,424.5,175.4499969482422,425.3699951171875,172.67999267578125,421.1700134277344,173.7899932861328,424.3599853515625,48527900,70142700
2023-10-06,177.49000549316406,429.5400085449219,177.49000549316406,429.5400085449219,177.99000549316406,431.1300048828125,173.17999267578125,420.6000061035156,173.8000030517578,421.9700012207031,57224100,113202700
2023-10-09,178.99000549316406,432.2900085449219,178.99000549316406,432.2900085449219,179.0500030517578,432.8800048828125,175.8000030517578,427.010009765625,176.80999755859375,427.5799865722656,42390800,80374400
2023-10-10,178.38999938964844,434.5400085449219,178.38999938964844,434.5400085449219,179.72000122070312,437.2200012207031,177.9499969482422,432.5299987792969,178.10000610351562,432.94000244140625,43698000,78607300
2023-10-11,179.8000030517578,436.32000732421875,179.8000030517578,436.32000732421875,179.85000610351562,436.5799865722656,177.60000610351562,433.17999267578125,178.1999969482422,435.6400146484375,47551100,62451700
2023-10-12,180.7100067138672,433.6600036621094,180.7100067138672,433.6600036621094,182.33999633789062,437.3399963378906,179.0399932861328,431.2300109863281,180.07000732421875,436.95001220703125,56743100,81154200
2023-10-13,178.85000610351562,431.5,178.85000610351562,431.5,181.92999267578125,436.45001220703125,178.13999938964844,429.8800048828125,181.4199981689453,435.2099914550781,51427100,95143100
